Quantity,Static,Dynamic,Diff_pct
PV_total_MWh_ha,1432.67,1432.53931934094,-0.00912147661748832
PV_sold_MWh_ha,1360.81,1432.05246780544,5.23529866810519
biogas_total_MWh_ha,5.98,8.86316173770834,48.2134069850893
heat_demand_MWh_ha,0.72,0.872256178676252,21.1466914828128
BMP_eff_NmL_gVS,234,301.131465341336,28.6886604022805
OLR_kgVS_m3d,2.672,3.07534200742092,15.0951350082679
T_dig_avg_degC,33.2,35.8736886325304,8.05327901364591
GCR_pct,72.23,72.2266014796995,-0.00470513678595202
LER_crop (PAR-ratio defn),0.397,0.425513753815225,7.18230574690817
LER_crop (biomass defn),0.397,0.700349234945886,76.4103866362434
LER_PV,0.691,0.726768230619253,5.17629965546352
LER_biogas,0.635,0.820984708860674,29.2889305292401
eLER,1.723,2.24810217442581,30.4760403032974
ET0_season_mm,520.3,520.507651717343,0.0399099975673154
W_saved_mm_season,81.25,81.1981317489765,-0.0638378474135817
LER_water_season_pct,15.62,15.5997959839926,-0.129347093516975
