Quantity,Static,Dynamic,Diff_pct
PV_total_MWh_ha,1295.23,632.5156261188,-51.1657677695236
PV_sold_MWh_ha,1228.74,628.874191606936,-48.8195882280274
biogas_total_MWh_ha,3.66,9.09966797034515,148.624807932928
heat_demand_MWh_ha,2.26,6.9347331915204,206.846601394708
BMP_eff_NmL_gVS,148.8,303.62492594746,104.049009373293
OLR_kgVS_m3d,1.569,0.825686747110528,-47.3749683167286
T_dig_avg_degC,26.7,35.5550926948686,33.165141179283
GCR_pct,70.32,34.4094856478248,-51.0672843460967
LER_crop (PAR-ratio defn),0.356,0.420221623899791,18.0397819943232
LER_crop (biomass defn),0.356,0.725042927156437,103.663743583269
LER_PV,0.674,0.328545642511664,-51.2543557104357
LER_biogas,0.611,0.840998186809955,37.6429110981923
eLER,1.641,1.89458675647806,15.4531844288882
ET0_season_mm,845.6,846.39013936624,0.0934412684767739
W_saved_mm_season,159.11,138.731775484045,-12.8076327798093
LER_water_season_pct,18.82,16.390996188581,-12.9065027174231
