site,PV_MWh_ha,biogas_MWh_ha,LER_crop_PAR,LER_crop_biomass,LER_PV,LER_biogas,eLER,T_dig_mean_C,pct_time_mesophilic,pct_heat_covered,pct_heat_from_PV,pct_time_feed_limited,pct_time_VFA_inhibited,pH_min,pct_CH4,fruit_t_ha,pct_worst_drift,periodic
Konya,1297.018584367,8.75914022748677,0.402035242267255,0.679545949363743,0.709261382629462,0.810857944140066,2.19966527613327,35.6521650239746,99.2238328957881,99.9667750428757,47.1544319206912,0,0,7.2031618893722,73.1922547823759,40.786640586133,3.94241564857161,1
Almeria,1387.64053184743,8.7380553402557,0.413508570347791,0.677795064534946,0.709640578327806,0.809160958640683,2.19659660150343,35.6445118601824,100,99.9821607367486,47.3639925515588,0,0,7.19573085915884,73.2604472676167,40.6797100313511,0.783465578551299,1
Ouagadougou,1436.46015358759,8.85981048218153,0.425513753815225,0.70023032889591,0.727497914849021,0.820855327904233,2.24858357164916,35.873593432232,100,99.9934088695262,48.4590245069133,0,0,7.181094357358,73.3941581428833,42.0273694028099,3.66917820507521,1
Freiburg,1004.61723852564,5.83083681733827,0.437114290063788,0.46725093592361,0.693100394540275,0.773877968658628,1.93422929912251,35.4616995899606,99.9201004451547,99.9410606969527,47.0253573812706,0,0,7.21354710007047,73.2486792471352,14.0234900669181,4.76998827022034,1
