Quantity,Static,Dynamic,Diff_pct
PV_total_MWh_ha,1386.03,1387.64053184743,0.116197473895203
PV_sold_MWh_ha,1316.66,1386.21693750153,5.28283212838032
biogas_total_MWh_ha,3.83,8.7380553402557,128.147659014509
heat_demand_MWh_ha,1.56,2.6560579475616,70.260124843692
BMP_eff_NmL_gVS,154.3,301.895818415939,95.6550994270505
OLR_kgVS_m3d,1.925,2.24510776128007,16.6289746119518
T_dig_avg_degC,27.2,35.6445118601824,31.0459994859645
GCR_pct,70.41,70.409303865155,-0.000988687466249564
LER_crop (PAR-ratio defn),0.366,0.413508570347791,12.9804837015823
LER_crop (biomass defn),0.366,0.677795064534946,85.1899083428814
LER_PV,0.675,0.709640578327806,5.13193753004526
LER_biogas,0.616,0.809160958640683,31.3572984806303
eLER,1.657,2.19659660150343,32.5646711830678
ET0_season_mm,466.1,465.2927885922,-0.173184168161308
W_saved_mm_season,87.61,87.7221012822323,0.127954893542178
LER_water_season_pct,18.8,18.8530971106701,0.282431439734432
